fileID,archiveID,setID,hash,modified,newest,entries,attr,size,compressed,method,name,path,volume,photo,dimensions,thumb,comment,warnings
679,679,1,,6/12/18 15:06,6/11/99 10:34,3492,0,341243904,341243904,FS,MSTN-CD035-PD002CD1.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,PD002CD1,MSTN-CD035-PD002CD1.png,1512x1498,,,
944,944,1,,6/12/18 15:12,6/9/99 13:06,1614,0,522399744,522399744,FS,MSTN-CD036-PD002CD2.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,PD002CD2,MSTN-CD036-PD002CD2.png,1512x1498,,,
892,892,1,,6/12/18 15:25,6/9/99 13:19,20624,0,411160576,411160576,FS,MSTN-CD037-PD002CD3.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,PD002CD3,MSTN-CD037-PD002CD3.png,1512x1498,,,
701,701,1,,6/13/18 23:59,6/23/03 17:04,1802,0,600653824,600653824,FS,MSTN-CD052-PREMTECH.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,PREMTECH,MSTN-CD052-PREMTECH.png,1431x1476,,,
383,383,1,,6/20/25 10:44,1/5/00 2:23,1990,0,300152832,300152832,Network,prokit2000.iso,https://archive.org/download/prokit2000,prokit2000,https://archive.org/download/prokit2000/prokit2000.jpg,,https://archive.org/download/prokit2000/prokit2000_thumb.jpg,,
498,498,1,,6/20/25 10:51,1/5/00 2:23,1990,0,300152832,300152832,Network,2000-0577.ISO,https://archive.org/download/technetmegadump,prokit2000,https://archive.org/download/technetmegadump/2000-0577.png,,https://archive.org/download/technetmegadump/2000-0577_thumb.jpg,,
497,497,1,,6/20/25 10:51,12/6/99 11:24,2351,0,389535744,389535744,Network,2000-0576.ISO,https://archive.org/download/technetmegadump,RESKIT2000,https://archive.org/download/technetmegadump/2000-0576.png,,https://archive.org/download/technetmegadump/2000-0576_thumb.jpg,,
347,347,1,,6/20/25 10:41,8/19/98 15:49,2067,0,640374784,640374784,Network,Sep98_Rslr_Port1.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port1,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
344,344,1,,6/20/25 10:38,3/4/99 15:50,2090,0,675846144,675846144,Network,Mar99_Rslr_Port1.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port1,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
341,341,1,,6/20/25 10:37,7/21/99 15:36,2169,0,676890624,676890624,Network,Aug99_Rslr_Port1.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port1,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
345,345,1,,6/20/25 10:39,3/9/99 10:31,2003,0,567791616,567791616,Network,Mar99_Rslr_Port2.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port2,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
348,348,1,,6/20/25 10:41,8/19/98 13:05,2114,0,624513024,624513024,Network,Sep98_Rslr_Port2.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port2,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
342,342,1,,6/20/25 10:38,7/21/99 16:33,2259,0,673280000,673280000,Network,Aug99_Rslr_Port2.iso,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99,Rslr_Port2,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98.jpg,,https://archive.org/download/microsoft_reseller_portfolio_CD_98_99/01_Ress_Sep98_thumb.jpg,,
